hour,price,solar_potential,action
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
0,0.08667,0.0,Do Nothing
1,0.08343,0.0,Run Washing Machine
2,0.08426,0.0,Do Nothing
3,0.09040999999999999,0.0,Do Nothing
4,0.10574,0.0,Do Nothing
5,0.11263,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.0,Do Nothing
8,0.08979999999999999,0.0,Do Nothing
9,0.08565,0.0,Do Nothing
10,0.08195999999999999,0.0,Run Washing Machine
11,0.07862000000000001,0.0,Charge EV
12,0.06806,0.0,Charge EV
13,0.0692,0.07405431334882862,Charge EV
14,0.08086,0.1327905619136139,Charge EV
15,0.08909,0.16263455967290594,Do Nothing
16,0.09548999999999999,0.10333333333333335,Do Nothing
17,0.10837000000000001,0.047450158268795506,Do Nothing
18,0.11972,1.959434878635765e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.23034895014124346,Do Nothing
8,0.08979999999999999,0.38999999999999996,Run Washing Machine
9,0.08565,0.47376154339498683,Sell to Grid
10,0.08195999999999999,0.5022947341949744,Sell to Grid
11,0.07862000000000001,0.47330365488164344,Run Dishwasher
12,0.06806,0.4,Charge EV
13,0.0692,0.40246909428711175,Charge EV
14,0.08086,0.37527767497325676,Charge EV
15,0.08909,0.3181980515339464,Charge EV
16,0.09548999999999999,0.22166666666666665,Run Washing Machine
17,0.10837000000000001,0.1130176496947675,Do Nothing
18,0.11972,5.265981236333619e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
21,0.11055,0.0,Do Nothing
6,0.11192,0.0,Do Nothing
7,0.10421,0.23034895014124346,Do Nothing
8,0.08979999999999999,0.38999999999999996,Run Washing Machine
9,0.08565,0.47376154339498683,Sell to Grid
10,0.08195999999999999,0.5022947341949744,Sell to Grid
11,0.07862000000000001,0.47330365488164344,Run Dishwasher
12,0.06806,0.4,Charge EV
13,0.0692,0.40246909428711175,Charge EV
14,0.08086,0.37527767497325676,Charge EV
15,0.08909,0.3181980515339464,Charge EV
16,0.09548999999999999,0.22166666666666665,Run Washing Machine
17,0.10837000000000001,0.1130176496947675,Do Nothing
18,0.11972,5.265981236333619e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
21,0.11055,0.0,Do Nothing
9,0.08565,0.47376154339498683,Sell to Grid
10,0.08195999999999999,0.5022947341949744,Sell to Grid
11,0.07862000000000001,0.47330365488164344,Run Dishwasher
12,0.06806,0.4,Charge EV
13,0.0692,0.40246909428711175,Charge EV
14,0.08086,0.37527767497325676,Charge EV
15,0.08909,0.3181980515339464,Charge EV
16,0.09548999999999999,0.22166666666666665,Run Washing Machine
17,0.10837000000000001,0.1130176496947675,Run Washing Machine
18,0.11972,5.265981236333619e-17,Do Nothing
19,0.12904,0.0,Do Nothing
20,0.12071,0.0,Do Nothing
21,0.11055,0.0,Do Nothing
